StateFIPS,State,Year,Value
1,Alabama,2011,0.0
1,Alabama,2014,0.0
1,Alabama,2017,0.0
1,Alabama,2018,0.0
1,Alabama,2019,0.0
2,Alaska,2011,0.0
2,Alaska,2014,0.0
2,Alaska,2017,0.0
2,Alaska,2018,0.0
2,Alaska,2019,0.0
4,Arizona,2011,0.0
4,Arizona,2014,0.0
4,Arizona,2017,0.0
4,Arizona,2018,0.0
4,Arizona,2019,0.0
5,Arkansas,2011,0.0
5,Arkansas,2014,0.0
5,Arkansas,2017,0.0
5,Arkansas,2018,0.0
5,Arkansas,2019,0.0
6,California,2011,0.0
6,California,2014,0.0
6,California,2017,0.0
6,California,2018,0.0
6,California,2019,0.0
8,Colorado,2011,0.0
8,Colorado,2014,0.0
8,Colorado,2017,0.0
8,Colorado,2018,0.0
8,Colorado,2019,0.0
9,Connecticut,2011,0.0
9,Connecticut,2014,0.0
9,Connecticut,2017,0.0
9,Connecticut,2018,0.0
9,Connecticut,2019,0.0
10,Delaware,2011,0.0
10,Delaware,2014,0.0
10,Delaware,2017,0.0
10,Delaware,2018,0.0
10,Delaware,2019,0.0
11,District of Columbia,2011,0.0
11,District of Columbia,2014,0.0
11,District of Columbia,2017,0.0
11,District of Columbia,2018,0.0
11,District of Columbia,2019,0.0
12,Florida,2011,0.0
12,Florida,2014,0.0
12,Florida,2017,0.0
12,Florida,2018,0.0
12,Florida,2019,0.0
13,Georgia,2011,0.0
13,Georgia,2014,0.0
13,Georgia,2017,0.0
13,Georgia,2018,0.0
13,Georgia,2019,0.0
15,Hawaii,2011,0.01
15,Hawaii,2014,0.0
15,Hawaii,2017,0.0
15,Hawaii,2018,0.0
15,Hawaii,2019,0.0
16,Idaho,2011,0.0
16,Idaho,2014,0.0
16,Idaho,2017,0.0
16,Idaho,2018,0.0
16,Idaho,2019,0.0
17,Illinois,2011,0.0
17,Illinois,2014,0.0
17,Illinois,2017,0.0
17,Illinois,2018,0.0
17,Illinois,2019,0.0
18,Indiana,2011,0.0
18,Indiana,2014,0.0
